kortnavn;nodetat;kjoretoy_ID;Hendelses_ID;demo_time;Bemanning;Innsatsleder;POINT_X;POINT_Y;sekvens
H;A_B_P;Bilulykke;H_043;2026-01-15T09:59:50Z;;;5.655314;58.896855;0
Z;A_B_P;Bilulykke;H_043;2026-01-15T09:59:50Z;;;5.655314;58.896855;0
Z;A_B_P;Bilulykke;H_043;2026-01-15T09:59:50Z;;;5.655314;58.896855;0
Z;A_B_P;Bilulykke;H_043;2026-01-15T09:59:50Z;;;5.655314;58.896855;0
Z;A_B_P;Bilulykke;H_043;2026-01-15T09:59:50Z;;;5.655314;58.896855;0
Z;A_B_P;Bilulykke;H_043;2026-01-15T09:59:50Z;;;5.655314;58.896855;0
Z;A_B_P;Bilulykke;H_043;2026-01-15T09:59:50Z;;;5.655314;58.896855;0
Z;A_B_P;Bilulykke;H_043;2026-01-15T09:59:50Z;;;5.655314;58.896855;0
Z;A_B_P;Bilulykke;H_043;2026-01-15T09:59:50Z;;;5.655314;58.896855;0
Z;A_B_P;Bilulykke;H_043;2026-01-15T09:59:50Z;;;5.655314;58.896855;0
Z;A_B_P;Bilulykke;H_043;2026-01-15T09:59:50Z;;;5.655314;58.896855;0
Z;A_B_P;Bilulykke;H_043;2026-01-15T09:59:50Z;;;5.655314;58.896855;0
Z;A_B_P;Bilulykke;H_043;2026-01-15T09:59:50Z;;;5.655314;58.896855;0
Z;A_B_P;Bilulykke;H_043;2026-01-15T09:59:50Z;;;5.655314;58.896855;0
Z;A_B_P;Bilulykke;H_043;2026-01-15T09:59:50Z;;;5.655314;58.896855;0
Z;A_B_P;Bilulykke;H_043;2026-01-15T09:59:50Z;;;5.655314;58.896855;0
Z;A_B_P;Bilulykke;H_043;2026-01-15T09:59:50Z;;;5.655314;58.896855;0
Z;A_B_P;Bilulykke;H_043;2026-01-15T09:59:50Z;;;5.655314;58.896855;0
Z;A_B_P;Bilulykke;H_043;2026-01-15T09:59:50Z;;;5.655314;58.896855;0
Z;A_B_P;Bilulykke;H_043;2026-01-15T09:59:50Z;;;5.655314;58.896855;0
Z;A_B_P;Bilulykke;H_043;2026-01-15T09:59:50Z;;;5.655314;58.896855;0
Z;A_B_P;Bilulykke;H_043;2026-01-15T09:59:50Z;;;5.655314;58.896855;0
P;Politi;P03;H_043;2026-01-15T10:00:10Z;3;Bjarte Olavsen;5.736538726849496;58.962282891493352;1
P;Politi;P03;H_043;2026-01-15T10:00:11.66Z;3;Bjarte Olavsen;5.736279258005178;58.962493169506487;2
P;Politi;P03;H_043;2026-01-15T10:00:13.33Z;3;Bjarte Olavsen;5.736019789160861;58.96270344751963;3
A;Ambulanse;A_012;H_043;2026-01-15T10:00:15Z;3;Ole Kyrres;5.703256652737275;58.929507728293736;1
P;Politi;P03;H_043;2026-01-15T10:00:15Z;3;Bjarte Olavsen;5.735760320316543;58.962913725532765;4
